"","ScanID","Genotype","Subdirectory","RegType","LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t","OrganName","GenotypeRegtype"
"20","Scan_0035","WT/WT","WT","M",3,27716.3862162008,12041.4072265625,41537.37890625,20339935.0173877,2464,0.532223999500275,68293175.6367188,4.86266686972086,-5.14841670581272,-8.46714525990671,NA,"kidney (left)","WT-M"
"21","Scan_0035","WT/WT","WT","M",4,27899.1372161711,13608.1875,40136.8828125,16592816.5545794,2778,0.600048005580902,77503803.1865234,6.13654847542616,-5.22222031580963,-8.48517129704451,NA,"kidney (right)","WT-M"
"22","Scan_0035","WT/WT","WT","M",5,20075.8301089346,2581.08666992188,40163.59375,81673026.8837142,7734,1.67054402828217,155266470.0625,4.25078805371531,-5.72550442608322,-8.31300456642655,NA,"stomach","WT-M"
"23","Scan_0035","WT/WT","WT","M",6,38416.9962516073,1620.98596191406,62309.9609375,31053209.436504,74299,16.048583984375,2854344404.49817,5.24608197321289,-6.75382231115656,-7.95477184194175,NA,"liver","WT-M"
"24","Scan_0035","WT/WT","WT","M",7,33804.0879052006,16073.599609375,48845.546875,36572653.037731,402,0.0868320018053055,13589243.3378906,4.84785404262257,-5.51105529856325,-9.18995418605523,NA,"adrenal (left)","WT-M"
"25","Scan_0035","WT/WT","WT","M",8,35747.7566231343,21374.21875,47061.51171875,27569153.8142812,335,0.0723600015044212,11975498.46875,6.02564508739872,-5.63248813438416,-9.16347657411488,NA,"adrenal (right)","WT-M"
"26","Scan_0035","WT/WT","WT","M",9,25822.5891886457,13009.1328125,35459.46875,14868842.7744189,641,0.138456001877785,16552279.6699219,5.30012917243371,-4.79671902361975,-6.11843836422829,NA,"rectum","WT-M"
"27","Scan_0035","WT/WT","WT","M",10,24199.9758607756,9590.6904296875,35025.28125,30495410.4230962,2036,0.439776003360748,49271150.8525391,5.32186160793942,-5.80382998114251,-6.62820536630327,NA,"bladder","WT-M"
"28","Scan_0035","WT/WT","WT","M",11,22930.0217071265,2639.58984375,50234.77734375,67807260.7258467,8184,1.76774394512177,187659297.651123,5.07892289192448,-8.58277992324051,-7.94358168638392,NA,"heart","WT-M"
"29","Scan_0035","WT/WT","WT","M",12,29621.2454810419,12924.0537109375,36275.71875,17884480.9986722,518,0.111887998878956,15343805.1591797,5.03153467421366,-9.89927577917178,-8.57031435432585,NA,"thymus (left)","WT-M"
"30","Scan_0035","WT/WT","WT","M",13,30298.3480238971,20426.62890625,37016.54296875,8500899.04650404,425,0.0917999967932701,12876797.9101562,5.55332972304401,-9.91973519320766,-8.45220633706483,NA,"thymus (right)","WT-M"
"31","Scan_0035","WT/WT","WT","M",14,21593.3850506189,2004.00866699219,49511.3828125,17042746.375408,142179,30.7106647491455,3070125893.11194,5.08693909548747,-13.0913946395636,-6.05605018990212,NA,"brain","WT-M"
"32","Scan_0035","WT/WT","WT","M",15,21340.091256362,4611.48828125,48011.84375,9690557.19421881,36496,7.88313579559326,778827970.492188,5.36546188515016,-8.75883436410676,-9.68214773660233,NA,"spinal cord","WT-M"
"34","Scan_0038","WT/WT","WT","M",1,25329.0393307887,5698.20654296875,35333.53515625,17027358.5039912,9453,2.04184794425964,239435408.793945,4.28131056199335,-7.95708096205788,-9.43938341250322,NA,"lung (left)","WT-M"
"35","Scan_0038","WT/WT","WT","M",2,25063.2896956937,3852.2724609375,41446.83203125,22535549.0414644,19041,4.11285591125488,477230099.095703,6.13548702941371,-7.98595024246689,-9.16764074146173,NA,"lung (right)","WT-M"
"36","Scan_0038","WT/WT","WT","M",3,22935.9802020392,5007.37548828125,35255.7734375,15016684.4747185,3191,0.689256012439728,73188712.824707,4.7224862404551,-4.6334195038608,-8.62952840833145,NA,"kidney (left)","WT-M"
"37","Scan_0038","WT/WT","WT","M",4,23607.4089509025,5583.32861328125,36585.0390625,16847259.5947571,3466,0.74865597486496,81823279.4238281,6.26702500833642,-4.68320711880422,-8.57503398038996,NA,"kidney (right)","WT-M"
"38","Scan_0038","WT/WT","WT","M",5,18689.7249498767,1996.71142578125,33553.69140625,55492342.9100096,8143,1.75888800621033,152190430.266846,4.13417933620867,-5.44380533934551,-8.652564632533,NA,"stomach","WT-M"
"39","Scan_0038","WT/WT","WT","M",6,34512.2202404044,4037.1298828125,54934.8359375,26620046.014317,95161,20.5547752380371,3284217390.29712,5.34607375102852,-6.48001592412995,-8.0275752248392,NA,"liver","WT-M"
"40","Scan_0038","WT/WT","WT","M",7,32047.9655463447,20983.15234375,42438.08984375,18965516.3278546,442,0.0954720005393028,14165200.7714844,4.84923379544218,-5.19055148280043,-9.3740941198703,NA,"adrenal (left)","WT-M"
"41","Scan_0038","WT/WT","WT","M",8,33537.9211766443,22455.859375,42985.71484375,17797387.5123209,344,0.07430399954319,11537044.8847656,6.08912356709326,-5.22256952973298,-9.29500278029332,NA,"adrenal (right)","WT-M"
"42","Scan_0038","WT/WT","WT","M",9,22216.0712541354,14023.2255859375,31460.724609375,13223358.3433552,699,0.1509840041399,15529033.8066406,5.34881490355395,-4.12543234039272,-6.38031418861747,NA,"rectum","WT-M"
"43","Scan_0038","WT/WT","WT","M",10,19755.6579536928,2216.01123046875,30575.814453125,25422338.9200052,2676,0.578015983104706,52866140.684082,5.37059582697437,-5.34726840344246,-6.68435516323203,NA,"bladder","WT-M"
"44","Scan_0038","WT/WT","WT","M",11,21988.7857726733,2871.9775390625,45979.34375,42599905.4616159,9027,1.94983196258545,198492769.169922,4.97926498392804,-8.5773960772223,-7.78665924500802,NA,"heart","WT-M"
